Entries: 2  - Hidden layer 1 neurons: 8 - hidden layer 2 neurons: 6 , L:300
Tanh activation function 


 season 1 - square error  : 1369.323853 
 season 2 - square error  :     1329.082520 
 season 3 - square error  :     1255.573242 
 season 4 - square error  :     1163.291870 
 season 5 - square error  :     1081.498901 
 season 6 - square error  :     1022.961548 
 season 7 - square error  :      984.163818 
 season 8 - square error  :      958.155945 
 season 9 - square error  :      939.849304 
 season 10 - square error  :      926.182373 
 season 11 - square error  :      915.405701 
 season 12 - square error  :      906.487183 
 season 13 - square error  :      898.790771 
 season 14 - square error  :      891.908325 
 season 15 - square error  :      885.565430 
 season 16 - square error  :      879.565125 
 season 17 - square error  :      873.763123 
 season 18 - square error  :      868.057739 
 season 19 - square error  :      862.373901 
 season 20 - square error  :      856.651550 
 season 21 - square error  :      850.849548 
 season 22 - square error  :      844.940002 
 season 23 - square error  :      838.901978 
 season 24 - square error  :      832.724609 
 season 25 - square error  :      826.399963 
 season 26 - square error  :      819.922302 
 season 27 - square error  :      813.291016 
 season 28 - square error  :      806.506165 
 season 29 - square error  :      799.570740 
 season 30 - square error  :      792.486633 
 season 31 - square error  :      785.258301 
 season 32 - square error  :      777.893127 
 season 33 - square error  :      770.395630 
 season 34 - square error  :      762.773315 
 season 35 - square error  :      755.034912 
 season 36 - square error  :      747.191284 
 season 37 - square error  :      739.254883 
 season 38 - square error  :      731.237976 
 season 39 - square error  :      723.154175 
 season 40 - square error  :      715.020569 
 season 41 - square error  :      706.851807 
 season 42 - square error  :      698.663452 
 season 43 - square error  :      690.475952 
 season 44 - square error  :      682.303894 
 season 45 - square error  :      674.167725 
 season 46 - square error  :      666.083008 
 season 47 - square error  :      658.068970 
 season 48 - square error  :      650.141479 
 season 49 - square error  :      642.315491 
 season 50 - square error  :      634.607483 
 season 51 - square error  :      627.029602 
 season 52 - square error  :      619.593079 
 season 53 - square error  :      612.308044 
 season 54 - square error  :      605.184692 
 season 55 - square error  :      598.227539 
 season 56 - square error  :      591.443115 
 season 57 - square error  :      584.834229 
 season 58 - square error  :      578.401917 
 season 59 - square error  :      572.145081 
 season 60 - square error  :      566.065308 
 season 61 - square error  :      560.158936 
 season 62 - square error  :      554.422974 
 season 63 - square error  :      548.853699 
